1	菜单名称					菜单类型	已分配角色	业务领域	归属租户类型
2	总览					目录	-		
3		巨量概览				菜单	短剧投手、运营管理员	报表域	代理商租户类型
4	数据报表					目录	-		
5		漫剧报表				目录	-		
6			(免费)端原生短剧报表			菜单	短剧投手、运营管理员	报表域	代理商租户类型
7			短剧NB统计			组件	短剧投手、运营管理员	报表域	代理商租户类型
8			(免费)端原生投手报表			菜单	短剧投手、运营管理员	报表域	代理商租户类型
9			(免费)端原生组报表			菜单	短剧投手、运营管理员	报表域	代理商租户类型
10			(付费)端原生短剧报表			菜单	短剧投手、运营管理员	报表域	代理商租户类型
11			(付费)端原生投手报表			菜单	短剧投手、运营管理员	报表域	代理商租户类型
12			(付费)端原生组报表			菜单	短剧投手、运营管理员	报表域	代理商租户类型
13		漫剧全域报表				目录	-		
14			短剧报表			菜单	短剧投手、运营管理员	报表域	代理商租户类型
15			投手报表			菜单	短剧投手、运营管理员	报表域	代理商租户类型
16			组报表			菜单	短剧投手、运营管理员	报表域	代理商租户类型
17		素材报表				目录	-		
18			素材消耗			菜单	短剧投手、运营管理员、剪辑师	报表域	代理商租户类型
19			剪辑师消耗			菜单	短剧投手、运营管理员、剪辑师	报表域	代理商租户类型
20			素材报表			菜单	短剧投手、运营管理员、剪辑师	报表域	代理商租户类型
21				未上NB新剧		组件	短剧投手、运营管理员	报表域	代理商租户类型
22			剪辑师统计			菜单	短剧投手、运营管理员、剪辑师	报表域	代理商租户类型
23		利润报表				目录	-		
24			利润统计概览			菜单	运营管理员	报表域	代理商租户类型
25			每日利润统计			菜单	短剧投手、运营管理员	报表域	代理商租户类型
26				编辑列		组件	运营管理员	报表域	代理商租户类型
27				参数配置		组件	运营管理员	报表域	代理商租户类型
28				盈亏运行		组件	运营管理员	报表域	代理商租户类型
29			投手利润统计			菜单	运营管理员	报表域	代理商租户类型
30			组利润统计			菜单	运营管理员	报表域	代理商租户类型
31		智能投放				目录	-		
32			巨量广告			目录	-		
33				账户		菜单	短剧投手、运营管理员	推广域	代理商租户类型
34				项目		菜单	短剧投手、运营管理员	推广域	代理商租户类型
35				广告		菜单	短剧投手、运营管理员	推广域	代理商租户类型
36				素材		菜单	短剧投手、运营管理员	推广域	代理商租户类型
37				全部广告		菜单	运营管理员	推广域	代理商租户类型
38				全域项目		菜单	短剧投手、运营管理员	推广域	代理商租户类型
39			漫剧标准投放			目录	-		
40				(免费)端原生投放任务		菜单	短剧投手、运营管理员	推广域	代理商租户类型
41					端原生批量	组件	短剧投手、运营管理员	推广域	代理商租户类型
42					端原生模板批量	组件	短剧投手、运营管理员	推广域	代理商租户类型
43					半自动化投放	组件	短剧投手、运营管理员	推广域	代理商租户类型
44					模板批量简化版	组件	短剧投手、运营管理员	推广域	代理商租户类型
45					端原生批量简化版	组件	短剧投手、运营管理员	推广域	代理商租户类型
46				(免费)端原生模板管理		菜单	运营管理员、组长角色	推广域	代理商租户类型
47				(付费)端原生投放任务		菜单	短剧投手、运营管理员	推广域	代理商租户类型
48					半自动化批量	组件	短剧投手、运营管理员	推广域	代理商租户类型
49					模板批量简化版	组件	短剧投手、运营管理员	推广域	代理商租户类型
50					端原生批量简化版	组件	短剧投手、运营管理员	推广域	代理商租户类型
51				(付费)端原生模板管理		菜单	运营管理员、组长角色	推广域	代理商租户类型
52				(免费)端原生自动投放		菜单	短剧投手、运营管理员	推广域	代理商租户类型
53				(付费)端原生自动投放		菜单	短剧投手、运营管理员	推广域	代理商租户类型
54				漫剧同素材投放任务		菜单	运营管理员	推广域	代理商租户类型
55				自动剪辑投放任务		菜单	运营管理员	推广域	代理商租户类型
56			漫剧全域投放			目录	-		
57				端原生投放任务		菜单	短剧投手、运营管理员	推广域	代理商租户类型
58				端原生自动化投放		菜单	短剧投手、运营管理员	推广域	代理商租户类型
59			全域模板管理			目录	-		
60				漫剧模板		目录	-		
61					全域模板管理	菜单	运营管理员、组长角色	推广域	代理商租户类型
62					模板抖音号分配	菜单	短剧投手、运营管理员、组长角色	推广域	代理商租户类型
63				账户管理		目录	-		
64					广告主账户	菜单	运营管理员	资产域	代理商租户类型
65					授权组织	菜单	运营管理员	资产域	代理商租户类型
66					投放主体	菜单	运营管理员	推广域	代理商租户类型
67					抖音号管理	菜单	运营管理员	推广域	代理商租户类型
68					全域抖音号分配	菜单	运营管理员	推广域	代理商租户类型
69					商品库管理	菜单	运营管理员	推广域	代理商租户类型
70				标准自动投放策略		目录	-		
71					自动关停	菜单	运营管理员	推广域	代理商租户类型
72					小程序自动投放策略	菜单	运营管理员	推广域	代理商租户类型
73					端原生自动投放策略	菜单	运营管理员	推广域	代理商租户类型
74					端原生投手补广告	菜单	运营管理员	推广域	代理商租户类型
75					端原生补广告规则	菜单	运营管理员	推广域	代理商租户类型
76					端原生补广告日志	菜单	运营管理员	推广域	代理商租户类型
77					(免费)漫剧端原生机器人	菜单	短剧投手、运营管理员、机器人建推广链	推广域	代理商租户类型
78					(付费)漫剧端原生机器人	菜单	运营管理员	推广域	代理商租户类型
79				全域自动投放策略		目录	-		
80					自动投放策略	菜单	运营管理员	推广域	代理商租户类型
81					漫剧机器人	菜单	短剧投手、运营管理员、机器人建推广链	推广域	代理商租户类型
82				三方剧场		目录	-		代理商租户类型
83					平台列表	菜单	运营管理员	推广域	代理商租户类型
84					平台管理	菜单	运营管理员	推广域	代理商租户类型
85					应用列表	菜单	运营管理员	推广域	代理商租户类型
86					端原生推广链	菜单	短剧投手、运营管理员、剪辑师	推广域	代理商租户类型
87					番茄推广链接同步	菜单	短剧投手、运营管理员、剪辑师	推广域	代理商租户类型
88					机器人剪辑	菜单	运营管理员	推广域	代理商租户类型
89			素材管理			目录	-		
90				视频		菜单	短剧投手、运营管理员、剪辑师	素材域	代理商租户类型
91					批量删除	组件	短剧投手、运营管理员、剪辑师	素材域	代理商租户类型
92					添加高光视频	组件	短剧投手、运营管理员	素材域	代理商租户类型
93				标题		菜单	短剧投手、运营管理员	素材域	代理商租户类型
94					批量删除	组件	短剧投手、运营管理员	素材域	代理商租户类型
95					添加标题分类	组件	运营管理员	素材域	代理商租户类型
96				漫剧流转剧库		菜单	短剧投手、运营管理员、剪辑师	素材域	代理商租户类型
97			系统管理			目录	-	平台管理	系统租户类型
98				组织管理		目录	-	平台管理	
99					部门管理	菜单	运营管理员	平台管理	
100					权限管理	目录	-	平台管理	系统租户类型
101					角色管理	菜单	运营管理员	平台管理	系统租户类型
102					用户管理	菜单	运营管理员、用户管理	平台管理	系统租户类型
103					权限角色查询	菜单	运营管理员	平台管理	
